"","Former_Crop","promedioY","medianaY"
"1","Algodon",4.89404887218045,5
"2","Frijol",3.7,3.4
"3","Maiz",5.19949541284404,5.2
"4","Pastos",4.50909090909091,4.5
"5","Yuca",3,3
